,Name,Company,BatteryCapacity[kWh],Acceleration[sec],TopSpeed[km/h],Range[km],Efficiency[Wh/km],FastChargeSpeed[km/h],Drive_Class,PriceinGermany[€],PriceinUK[£]
0,Tesla Roadster ,Tesla,200.0,2.1,410,970,206,920,All,215000,189000
1,Tesla Model X Plaid,Tesla,90.0,2.6,262,455,198,680,All,116990,110980
2,Porsche Taycan Turbo S,Porsche,83.7,2.8,260,390,215,860,All,186336,138830
3,Porsche Taycan Turbo S Cross Turismo,Porsche,83.7,2.9,250,380,220,790,All,187746,139910
4,Tesla Cybertruck Tri Motor,Tesla,200.0,3.0,210,750,267,710,All,75000,68000
5,Lucid Air Grand Touring,Lucid,110.0,3.2,270,660,167,1380,All,140000,125000
6,Tesla Model S Long Range,Tesla,90.0,3.2,250,555,162,830,All,86990,83980
7,Porsche Taycan Turbo,Porsche,83.7,3.2,260,400,209,840,All,153016,115860
8,Tesla Model 3 Performance,Tesla,76.0,3.3,261,470,162,790,All,58560,59990
9,Audi e-tron GT RS,Audi,85.0,3.3,250,405,210,810,All,138200,110950
10,Porsche Taycan Turbo Cross Turismo,Porsche,83.7,3.3,250,385,217,800,All,154444,116950
11,Lucid Air Touring,Lucid,85.0,3.4,250,530,160,1390,All,95000,90000
12,Kia EV6 GT,Kia,77.4,3.5,260,395,196,920,All,65990,58295
13,Tesla Model Y Performance,Tesla,76.0,3.7,241,430,177,720,All,66965,60000
14,Tesla Model X Long Range,Tesla,90.0,3.9,250,475,189,710,All,95990,90980
15,BMW i4 M50,BMW,80.7,3.9,225,450,179,630,All,69900,63905
16,Porsche Taycan 4S,Porsche,71.0,4.0,250,375,189,750,All,106487,83580
17,Porsche Taycan 4S Plus,Porsche,83.7,4.0,250,435,192,910,All,113008,88193
18,Audi e-tron GT quattro,Audi,85.0,4.1,245,420,202,840,All,99800,79900
19,Porsche Taycan 4S Cross Turismo,Porsche,83.7,4.1,240,405,207,850,All,111842,87820
20,Lucid Air Pure,Lucid,85.0,4.2,200,540,157,1410,Rear,80000,70000
21,Mercedes EQS 580 4MATIC,Mercedes,107.8,4.3,210,610,177,800,All,135529,115000
22,Audi e-tron S 55 quattro,Audi,86.5,4.5,210,320,270,510,All,93800,87000
23,Audi e-tron S Sportback 55 quattro,Audi,86.5,4.5,210,335,258,540,All,96050,88700
24,BMW iX xDrive50,BMW,105.2,4.6,200,505,208,620,All,98000,91905
25,Volvo C40 Recharge,Volvo,75.0,4.7,180,340,221,440,All,62050,57400
26,Polestar 2 Long Range Dual Motor,Polestar,75.0,4.7,205,395,190,510,All,52500,45900
27,Jaguar I-Pace EV400,Jaguar,84.7,4.8,200,365,232,340,All,77300,65195
28,Volvo XC40 Recharge Twin Pure Electric,Volvo,75.0,4.9,180,340,221,440,All,59250,49950
29,Tesla Cybertruck Dual Motor,Tesla,120.0,5.0,190,460,261,710,All,55000,48000
30,Nissan Ariya e-4ORCE 87kWh Performance,Nissan,87.0,5.1,200,385,226,460,All,65000,57500
31,Mercedes EQC 400 4MATIC,Mercedes,80.0,5.1,180,370,216,440,All,66069,65720
32,Tesla Model Y Long Range Dual Motor,Tesla,76.0,5.1,217,450,169,750,All,59965,54000
33,Porsche Taycan 4 Cross Turismo,Porsche,83.7,5.1,220,405,207,850,All,93635,79340
34,Hyundai IONIQ 5 Project 45,Hyundai,72.6,5.2,185,370,196,860,All,59550,48000
35,Hyundai IONIQ 5 Long Range AWD,Hyundai,72.6,5.2,185,375,194,870,All,48900,45145
36,Porsche Taycan ,Porsche,71.0,5.4,230,395,180,790,Rear,83520,70690
37,Porsche Taycan Plus,Porsche,83.7,5.4,230,460,182,960,Rear,89244,74739
38,Kia EV6 Long Range AWD,Kia,77.4,5.4,185,410,189,950,All,56000,52000
39,Byton M-Byte 95 kWh 4WD,Byton,95.0,5.5,190,390,244,460,All,64000,60000
40,Tesla Model 3 Standard Range Plus LFP,Tesla,51.0,5.6,225,340,150,570,Rear,43560,40990
41,Tesla Model 3 Standard Range Plus,Tesla,50.0,5.6,225,340,147,680,Rear,43560,40990
42,Nissan Ariya e-4ORCE 87kWh,Nissan,87.0,5.7,200,420,207,500,All,57500,52500
43,BMW i4 eDrive40,BMW,80.7,5.7,190,475,170,660,Rear,58300,51905
44,Ford Mustang Mach-E ER AWD,Ford,88.0,5.8,180,420,210,410,All,62900,57030
45,Nissan Ariya e-4ORCE 63kWh,Nissan,63.0,5.9,200,325,194,440,All,50000,45000
46,BMW iX xDrive40,BMW,71.0,6.1,200,350,203,470,All,77300,69905
47,Skoda Enyaq iV RS,Skoda,77.0,6.2,180,395,195,480,All,50000,45000
48,Mercedes EQS 450+,Mercedes,107.8,6.2,210,640,168,840,Rear,106374,95000
49,Audi Q4 e-tron 50 quattro,Audi,76.6,6.2,180,385,199,470,All,53600,51370
50,Audi Q4 Sportback e-tron 50 quattro,Audi,76.6,6.2,180,400,192,490,All,55600,52870
51,Volkswagen ID.4 GTX,Volkswagen,77.0,6.2,180,400,193,490,All,50415,55540
52,Ford Mustang Mach-E SR AWD,Ford,68.0,6.3,180,330,206,360,All,54000,46650
53,Mercedes EQB 350 4MATIC,Mercedes,66.5,6.5,160,340,196,400,All,60000,50000
54,CUPRA Born 170 kW - 62 kWh,CUPRA,58.0,6.6,160,345,168,430,Rear,39000,31500
55,BMW iX3 ,BMW,74.0,6.8,180,385,192,520,Rear,66300,58850
56,Audi e-tron 50 quattro,Audi,64.7,6.8,190,280,231,470,All,69100,60600
57,Audi e-tron Sportback 50 quattro,Audi,64.7,6.8,190,295,219,490,All,71350,69100
58,Skoda Enyaq iV 80X,Skoda,77.0,6.9,160,405,190,500,All,47000,42000
59,BMW i3s 120 Ah,BMW,37.9,6.9,160,230,165,260,Rear,42600,32305
60,Ford Mustang Mach-E SR RWD,Ford,68.0,6.9,180,345,197,380,Rear,46900,41330
61,Ford Mustang Mach-E ER RWD,Ford,88.0,7.0,180,440,200,430,Rear,54475,49980
62,Tesla Cybertruck Single Motor,Tesla,100.0,7.0,180,390,256,740,Rear,45000,39000
63,CUPRA Born 170 kW - 82 kWh,CUPRA,77.0,7.0,160,450,171,550,Rear,43000,42000
64,Volkswagen ID.3 Pro Performance,Volkswagen,58.0,7.3,160,350,166,440,Rear,36495,29740
65,Nissan Leaf e+,Nissan,56.0,7.3,157,325,172,390,Front,38350,30445
66,BMW i3 120 Ah,BMW,37.9,7.3,150,235,161,270,Rear,39000,31305
67,Mini Cooper SE ,Mini,28.9,7.3,150,185,156,260,Front,32500,26000
68,CUPRA Born 150 kW - 62 kWh,CUPRA,58.0,7.3,160,350,166,440,Rear,36770,30500
69,Hyundai IONIQ 5 Long Range 2WD,Hyundai,72.6,7.4,185,385,189,890,Rear,45100,41945
70,Polestar 2 Standard Range Single Motor,Polestar,61.0,7.4,160,350,174,450,Front,46500,39900
71,Polestar 2 Long Range Single Motor,Polestar,75.0,7.4,160,425,176,550,Front,49500,42900
72,Nissan Ariya 63kWh,Nissan,63.0,7.5,160,335,188,450,Front,45000,40000
73,Kia EV6 Long Range 2WD,Kia,77.4,7.5,185,420,184,980,Rear,54990,48000
74,Byton M-Byte 72 kWh 2WD,Byton,72.0,7.5,190,325,222,420,Rear,53500,50000
75,Lexus UX 300e,Lexus,50.0,7.5,160,260,192,150,Front,47550,43900
76,Byton M-Byte 95 kWh 2WD,Byton,95.0,7.5,190,400,238,480,Rear,62000,57500
77,Nissan Ariya 87kWh,Nissan,87.0,7.6,160,445,196,530,Front,50000,45000
78,Kia e-Niro 64 kWh,Kia,64.0,7.8,167,370,173,350,Front,39090,32445
